doy.dayfract,datetime [UTC],Location,Transect,SZA,Lat,Lon,temp1 [C],temp2 [C],temp3 [C],temp4 [C],h1 [%],h2 [%],Incoming at 750nm [W m-2nm-1sr-1],Reflected 750 [W m-2nm-1sr-1],Reflected 760 [W m-2nm-1sr-1],Reflected 687 [W m-2nm-1sr-1],Reflectance 750 [-],Reflectance 760 [-],E_stability [%],sat value L,sat value E,sat value E2,Dynamic range E [%],Dynamic range L [%],OptEfluo [%],OptLfluo [%],Cloud Index [%],SIF_A_ifld [mW m-2nm-1sr-1],SIF_B_ifld [mW m-2nm-1sr-1],Incoming at 750nm Full [W m-2nm-1sr-1],Reflected 750nm full [W m-2nm-1sr-1],PAR [W m-2],LPAR,E_stability full [%],sat value L full,sat value E full,sat value E2 full,Dynamic range E full [%],Dynamic range L full [%],OptEfull,OptLfull,Cloud Index full [%],SSHIFT [nm],NDVI,PRI,MTCI,SR,EVI,REP,TCARI,REDCl,mCRI
177.4234144,26-06-19 10:09,0,3,32.28147683,50.867,6.4523,20.07,29.87,27.6,46.4,68.9,21.7,0.33089501,0.113465057,0.114667028,0.032310803,0.350849748,0.365352201,0.109757388,0,0,0,80.5315,80.6035,1.372908475,1.312062336,-3.83344139,1.010115822,1.265515113,0.288250496,0.1079717,323.7856797,0.0296432,1.081084884,0,0,0,78.82941176,79.46666667,4.359373208,6.681089014,8.739179767,0.300576756,0.626801791,-0.068798597,0.662916324,0.9840862,0.497221473,728.3035904,0.13461153,0.398786834,-1.879451832
177.4236921,26-06-19 10:10,0,3,32.24123623,50.867,6.4523,20.07,30.12,27.4,46.2,62.1,22.2,0.330659591,0.112697165,0.113911691,0.031819773,0.348581293,0.363693804,0.199952412,0,0,0,80.38,80.1655,1.372154773,1.322055368,-3.711099261,0.893221846,0.946408558,0.295048665,0.108108262,327.5794928,0.0297358,1.234937069,0,0,0,79.68235294,80.81372549,4.312793008,6.470009588,6.786501921,0.300576756,0.629753331,-0.06628317,0.662097982,0.995719374,0.499291693,728.5329254,0.134063151,0.40009072,-1.876466079
177.4239815,26-06-19 10:10,0,3,32.1994586,50.867,6.4523,20.07,30.25,27.2,45.9,56.8,22.6,0.330350121,0.11281408,0.114099828,0.031847587,0.349681407,0.364013294,0.155485579,0,0,0,80.236,80.3005,1.372969407,1.320184873,-3.56506811,0.820202543,0.981469162,0.292672032,0.107791214,325.0886648,0.029629487,0.446796535,0,0,0,79.23137255,80.5254902,4.285877816,6.533613972,7.536800867,0.300576756,0.624742809,-0.070643652,0.66112763,0.980671564,0.492705998,728.0279755,0.133793051,0.404892917,-1.888157754
177.4242708,26-06-19 10:10,1,3,32.1578242,50.867,6.4523,20.07,30.31,27.2,45.6,54,22.8,0.330217904,0.113086093,0.11435325,0.031829802,0.350463005,0.365868904,0.045726647,0,0,0,80.126,80.3055,1.375474194,1.315922373,-3.471601442,0.972366304,1.19717816,0.290776833,0.107649694,324.5599483,0.029713327,0.367097955,0,0,0,79.19411765,80.57843137,4.327073075,6.484364255,8.14441875,0.300576756,0.623836778,-0.065811742,0.657906314,0.993688562,0.493215768,728.265597,0.133645514,0.405923653,-1.88879936
177.4245602,26-06-19 10:11,1,3,32.11633359,50.867,6.4523,20.07,30.37,26.7,45.2,52.4,23.1,0.329437219,0.112662824,0.113944185,0.031902379,0.350251067,0.365800087,0.075139449,0,0,0,80.2415,80.516,1.373114811,1.317687682,-3.187549521,0.967449327,0.757477355,0.289602799,0.107697968,324.0128403,0.029681066,0.611934828,0,0,0,78.99411765,80.50980392,4.31003494,6.433772929,8.538982251,0.300576756,0.625537545,-0.069874353,0.660144074,0.987322306,0.495563311,728.1510921,0.135742057,0.3910834,-1.866076487
177.424838,26-06-19 10:11,1,3,32.07663836,50.867,6.4523,20.07,30.37,26.9,45.2,52,23.5,0.330979265,0.11318287,0.114534884,0.032150327,0.35039163,0.365574197,0.152817407,0,0,0,80.2925,80.357,1.373108672,1.316897798,-3.589599913,0.865697804,1.272150074,0.291627899,0.107878313,323.2877597,0.029675205,0.042134667,0,0,0,78.9254902,80.43529412,4.271867723,6.435204279,7.989697079,0.300576756,0.627445699,-0.067615703,0.659930019,0.985099498,0.498964632,728.382328,0.13582231,0.397671141,-1.878786042
177.4251273,26-06-19 10:12,1,3,32.03543134,50.867,6.4523,20.07,30.37,26.6,44.9,51.7,23.8,0.330614297,0.113240831,0.114513245,0.032036237,0.350917298,0.365697096,0.149630855,0,0,0,80.314,80.485,1.372982592,1.314098584,-3.42846389,0.933269562,0.946559103,0.290611397,0.108334496,324.9828011,0.029859331,0.414622674,0,0,0,79.2372549,80.78039216,4.240497938,6.45277757,8.337249218,0.300576756,0.623680569,-0.066194913,0.661769525,0.985803752,0.493909887,728.3974676,0.132617395,0.399453385,-1.881231426
177.4254167,26-06-19 10:12,1,3,31.99436991,50.867,6.4523,20.07,30.31,26.6,44.7,51.8,24,0.327875845,0.112275465,0.113608794,0.031818194,0.350641491,0.366004762,0.004258301,0,0,0,80.37,80.588,1.371056543,1.3161923,-2.569920785,0.835663904,1.04181692,0.290497324,0.107227397,323.2194028,0.029683807,0.029204729,0,0,0,78.78039216,81.45686275,4.318388569,6.278237835,8.418980851,0.300576756,0.624259147,-0.068840798,0.649457221,0.990557588,0.494338648,728.2615695,0.134959179,0.398139138,-1.877883919
177.425706,26-06-19 10:13,1,3,31.95337629,50.8669,6.4523,20.07,30.31,26.5,44.5,51.9,24.2,0.326535212,0.111932512,0.113158135,0.031677538,0.35060481,0.365898422,0.301395136,0,0,0,80.265,80.5935,1.372819816,1.316602593,-2.123032308,0.855223254,0.961391048,0.290306887,0.106926977,321.4995625,0.029515404,0.514523244,0,0,0,78.58235294,81.37843137,4.357200124,6.426215687,8.522967905,0.300576756,0.625341962,-0.067350727,0.657782074,0.983732227,0.496106252,728.1746957,0.135729433,0.397148948,-1.874352362
177.4259954,26-06-19 10:13,1,3,31.91256866,50.8669,6.4524,20.07,30.25,26.6,44.4,52.1,24.3,0.325310141,0.111431377,0.112702919,0.031707216,0.35090771,0.365489434,0.146307108,0,0,0,80.3845,80.8125,1.371926013,1.31348078,-1.710762386,0.668575456,0.900855042,0.28869336,0.106644709,317.570088,0.02922472,0.206670383,0,0,0,77.59019608,81.55294118,4.395548033,6.268423048,9.044613622,0.300576756,0.625429919,-0.06824164,0.656568715,0.980515436,0.496504909,728.1653468,0.134803674,0.394321568,-1.873704371
177.4262616,26-06-19 10:13,1,3,31.87530956,50.867,6.4523,20.07,30.25,26.6,44.2,52.3,24.3,0.328584813,0.112750677,0.113988032,0.032397668,0.351284464,0.365752696,0.259709944,0,0,0,80.453,80.946,1.370047071,1.311811494,-2.624582434,0.753492075,1.083375969,0.290107869,0.107312678,320.7487217,0.029588148,0.25567324,0,0,0,77.8745098,81.46862745,4.282541994,6.311963804,8.672603039,0.300576756,0.624056495,-0.06697739,0.640748018,0.980494359,0.495130459,728.4557355,0.133797527,0.394813961,-1.877294972
177.4265509,26-06-19 10:14,1,3,31.83482484,50.867,6.4523,20.07,30.19,26.6,44,52.5,24.7,0.330382186,0.113934376,0.115188767,0.032912467,0.352925478,0.36802004,0.210250229,0,0,0,80.215,80.9465,1.372066626,1.306610843,-3.099954153,1.025769942,0.805977383,0.291367688,0.108948533,326.7520054,0.030307127,1.604297752,0,0,0,79.42156863,81.91372549,4.252452378,6.345158815,8.350033845,0.300576756,0.623837934,-0.069188444,0.648081676,0.997576135,0.497595439,728.4642136,0.132919454,0.392877366,-1.876540547
177.4268403,26-06-19 10:14,1,3,31.79448869,50.867,6.4523,20.07,30.19,26.5,44,52.6,24.8,0.3269592,0.113261666,0.114430768,0.032298718,0.354098137,0.368945348,0.148083644,0,0,0,80.0255,81.314,1.375323265,1.303875407,-2.043735679,1.023388891,1.009360811,0.292639411,0.10762369,321.9040627,0.029772517,1.133553723,0,0,0,78.54313725,80.4627451,4.264581344,6.390200524,8.024049704,0.300576756,0.623455865,-0.068049987,0.657555647,0.988332074,0.495645915,728.3895583,0.135997537,0.386075389,-1.860744854
177.4271296,26-06-19 10:15,1,3,31.75430187,50.867,6.4523,20.07,30.19,26.5,43.7,52.7,24.7,0.32667317,0.112323717,0.113570073,0.032131825,0.351938511,0.367210919,0.001426882,0,0,0,80.2255,80.8585,1.374620092,1.311789183,-1.908498364,0.865198681,1.014457799,0.289564436,0.106999491,318.2777147,0.029441151,0.083020121,0,0,0,77.72745098,80.70196078,4.306372102,6.330338975,8.972701728,0.300576756,0.622879695,-0.07160876,0.66189143,0.988278251,0.494381687,728.260069,0.137336755,0.394758099,-1.872148824
177.427419,26-06-19 10:15,1,3,31.71422649,50.867,6.4524,20.07,30.19,26.5,43.6,52.8,24.7,0.32716925,0.112693339,0.113902708,0.032276608,0.352559417,0.366962365,0.057965986,0,0,0,80.2705,81.107,1.373749633,1.309800328,-2.002792096,0.860581126,1.009600887,0.289783359,0.107262288,320.2470233,0.029669205,0.277921245,0,0,0,77.94509804,81.3372549,4.314915686,6.359646412,8.954936212,0.300576756,0.622418529,-0.068404316,0.650850141,0.982301543,0.494842498,728.4538759,0.134427876,0.399299344,-1.8822503
177.4277083,26-06-19 10:15,1,3,31.67434021,50.867,6.4524,20.07,30.12,26.6,43.5,53,24.8,0.330541563,0.114150583,0.115321313,0.032811293,0.353769079,0.368723607,0.102456241,0,0,0,80.3155,81.306,1.370529427,1.30224295,-2.939938611,0.90573446,0.850962822,0.293009776,0.109545573,324.2080481,0.030375886,0.388722114,0,0,0,78.51372549,82.24901961,4.243482016,6.308416977,8.05582415,0.300576756,0.623132299,-0.068622773,0.64517477,0.981917555,0.499025571,728.2150385,0.137276216,0.401378962,-1.886166544
177.4279977,26-06-19 10:16,1,3,31.63460505,50.867,6.4524,20.07,30.12,26.6,43.4,53.1,25,0.331114637,0.114481486,0.115671052,0.032958062,0.353882596,0.36873046,0.035627997,0,0,0,80.2345,81.129,1.371635173,1.30320075,-3.056765044,0.912126303,1.330730237,0.291968782,0.10926056,325.5737488,0.030556506,0.094567597,0,0,0,79.4254902,80.82941176,4.268118427,6.434824049,8.406971697,0.300576756,0.621003183,-0.06756953,0.642996094,0.99491304,0.496505289,728.5234912,0.136339041,0.388638101,-1.871633692
177.428287,26-06-19 10:16,1,3,31.59502157,50.867,6.4524,20.07,30.12,26.6,43.3,53.2,25.3,0.329118477,0.114026393,0.115332551,0.032790929,0.354999431,0.369212301,0.061037818,0,0,0,80.2515,81.5035,1.37171188,1.298978776,-2.421651978,0.90252478,0.510022788,0.289786161,0.109364498,324.9361335,0.030310033,1.219010342,0,0,0,78.90980392,80.64313725,4.256688392,6.490984048,9.091792091,0.300576756,0.62566399,-0.063732704,0.648586304,0.986415031,0.501215742,728.6003665,0.137621674,0.396572569,-1.881348262
177.4285764,26-06-19 10:17,1,3,31.55559054,50.867,6.4524,20.07,30.12,26.6,43.3,53.2,25.4,0.330087474,0.113929268,0.11519049,0.032859815,0.353150157,0.367724408,0.094159538,0,0,0,80.198,81.269,1.373054847,1.305521868,-2.654908775,0.970049226,1.285712472,0.290090279,0.109005215,323.5785544,0.030424008,0.737154912,0,0,0,78.86470588,81.06666667,4.302668494,6.462314727,9.048208848,0.300576756,0.622437793,-0.068900134,0.65538107,0.993888133,0.498904503,728.6330841,0.136933988,0.39139781,-1.872426651
177.4288657,26-06-19 10:17,1,3,31.51631251,50.867,6.4524,20.07,30.12,26.6,43.1,53.2,25.3,0.331956028,0.114671222,0.115939043,0.033106649,0.354104709,0.369193795,0.012887624,0,0,0,80.3505,81.1985,1.37056062,1.303191978,-3.151299307,0.917802051,1.082541726,0.291070784,0.109098739,325.6553376,0.030449715,0.414805897,0,0,0,79.21372549,80.79215686,4.216026755,6.484363235,8.806628811,0.300576756,0.621934366,-0.068625302,0.641087425,0.986566972,0.496321295,728.4327914,0.137361763,0.396901334,-1.882990275
177.4291551,26-06-19 10:17,1,3,31.47718803,50.867,6.4524,20.07,30.06,26.6,43.1,53.3,25.6,0.333715234,0.115270538,0.116533712,0.033341701,0.353988622,0.369240832,0.151904778,0,0,0,80.408,81.2505,1.36968557,1.300992367,-3.615538587,1.036228874,1.29147272,0.294171499,0.111036837,329.7398976,0.03086304,0.371319135,0,0,0,79.92745098,81.99803922,4.193787243,6.440723904,7.945192906,0.300576756,0.622301497,-0.066837643,0.648005836,0.987196709,0.497918783,728.5623709,0.136619481,0.390172854,-1.870561712
