Created by SunData for Windows Mobile v2.0.0.2									
									
Title     :	Sarsense								
Location  :	selhausen								
Latitude  :	50.53N	Longitude :	6.25E						
26-06-19		Local time is GMT+2 Hrs							
SunScan probe v1.02R (C) JGW 2004/01/19									
									
Ext Sensor: BFS		  Leaf Angle Distn Parameter:				1.5	  Leaf Absorption:		0.85
Group   1 :									
									
Time			Trans-	Spread	Incid-	Beam	Zenith	LAI	Notes
			mitted		 ent	frac	Angle		
10:01:16	1	1	466.4	0.6	1189.1	0.58	49.6	1.2	
10:01:21	1	2	432.1	0.72	1184.2	0.58	49.6	1.3	
10:01:24	1	3	355.8	0.67	1188.5	0.58	49.6	1.6	
10:01:26	1	4	403.8	0.69	1188.5	0.58	49.6	1.4	
10:01:29	1	5	379.9	0.7	1202.5	0.59	49.6	1.5	
10:01:36	1	6	610.1	0.51	1215.4	0.59	49.5	0.9	
10:01:38	1	7	607.5	0.51	1219.6	0.59	49.5	0.9	
10:01:43	1	8	496.2	0.47	1224.5	0.6	49.5	1.2	
10:01:45	1	9	533.5	0.46	1227.6	0.6	49.5	1.1	
									
Average of	9	 readings							
  Incident light 		1204.4	  Transmitted fraction:			0.39	   LAI:	1.2	1
									
10:02:19	2	1	273.9	1.13	1204.4	0.59	49.4	1.9	
10:02:26	2	2	642.4	0.5	1241.6	0.6	49.4	0.8	
10:02:27	2	3	630.2	0.52	1246.5	0.61	49.4	0.9	
10:02:28	2	4	751.7	0.43	1246.5	0.61	49.4	0.6	
10:02:34	2	5	721.1	0.41	1246.5	0.61	49.4	0.7	
10:02:38	2	6	681.7	0.45	1250.2	0.61	49.4	0.8	
10:02:39	2	7	706.1	0.44	1255	0.61	49.4	0.7	
									
Average of	7	 readings							
  Incident light 		1241.5	  Transmitted fraction:			0.51	   LAI:	0.9	2
									
10:03:06	3	1	688.4	0.57	1250.2	0.61	49.3	0.8	
10:03:10	3	2	756.7	0.47	1247.1	0.61	49.3	0.6	
10:03:14	3	3	511.2	0.71	1244	0.61	49.3	1.1	
10:03:16	3	4	540.4	0.66	1244	0.61	49.3	1.1	
10:03:23	3	5	699.4	0.53	1250.2	0.61	49.3	0.7	
10:03:25	3	6	696.2	0.52	1250.2	0.61	49.3	0.7	
10:03:29	3	7	625	0.63	1249.5	0.61	49.3	0.9	
									
Average of	7	 readings							
  Incident light 		1247.9	  Transmitted fraction:			0.52	   LAI:	0.9	3
									
10:04:06	4	1	127.2	0.92	1248.3	0.61	49.2	3	
10:04:09	4	2	193.7	1.2	1244	0.61	49.1	2.5	
10:04:12	4	3	162.9	1.53	1241.6	0.61	49.1	2.7	
10:04:15	4	4	158.2	1.49	1238.6	0.61	49.1	2.7	
10:04:18	4	5	156.9	1.48	1235.5	0.61	49.1	2.7	
10:04:19	4	6	171	1.44	1235.5	0.61	49.1	2.6	
10:04:31	4	7	241.8	0.93	1235.5	0.61	49.1	2.1	
10:04:32	4	8	224.5	1.01	1237.3	0.61	49.1	2.2	
10:04:33	4	9	222.8	0.98	1237.3	0.61	49.1	2.3	4
									
Average of	9	 readings							
  Incident light 		1239.3	  Transmitted fraction:			0.15	   LAI:	2.5	
									
10:04:59	5	1	293.8	1.08	1237.3	0.62	49	1.9	
10:05:02	5	2	274.6	1.04	1237.3	0.62	49	2	
10:05:03	5	3	324.6	0.99	1244	0.62	49	1.8	
10:05:07	5	4	213.6	1.12	1246.5	0.62	49	2.3	
10:05:09	5	5	214.6	1.13	1243.4	0.62	49	2.3	
10:05:10	5	6	214.4	1.12	1243.4	0.62	49	2.3	
10:05:12	5	7	212.9	1.12	1245.3	0.62	49	2.3	
									
Average of	7	 readings							
  Incident light 		1242.5	  Transmitted fraction:			0.2	   LAI:	2.1	5
									
10:05:48	6	1	357.7	0.96	1270.3	0.62	48.9	1.7	
10:05:52	6	2	312.9	0.99	1267.2	0.62	48.9	1.8	
